Key,Value
es,Felicidades y saludos desde la Ciudad de México Mr. Manson
es,"Evan Rachel Wood se irá al infierno y Marilyn Manson saldrá victorioso de esto! 
Sé que sí"
es,Tu...Rosalía...y la gony chonga...a viajar conmigo al pasado...y está gente de yo tengo el don...gta completo al pasado haber lo cierto  qe es cierto...
es,satanistas  y violados
es,se nota que la voz de corey estaba cansada
es,"Temazo!, slipknot + resident evil, me trae muchísimos recuerdos de la niñez, saludos desde Chile  "
es,no se que dice pero ta buena la musica
es,no se que dice pero ta buena la musica
es,no se que dice pero ta buena la musica
es,Argentina campeón del mundo papa
es,Las nuevas generaciones nunca sabrán lo revelador que fue este video en su momento
es,Ya no es tan contundente como Metallica. Una pena.
es,Este es mi música favorita y nadie me la va a quitar
es,"Me pase de pendja, hace 2 semanas subieron un vídeo y apenas lo veo :/"
es,"Puta pasada de temazo, mi psicólogo me lo ha recomendado y me siento mejor "
es,Yo me llamo Pablo  ahhhhhh
es,"La brutalidad de la música hecha arte
Brutal y extraordinario temazo de Slipknot "
es,me parece que me gustan los asesinos seriales 
es,fantástico vídeo musical  impresionante 
es,"Valentines Day, 2023."
es,"Anyeli si llegas a leer esto por favor volvamos a tener esa amistad que nadie podía separar, eramos la mejor dupla :'( no sabes cuanto me dolio dejar de hablarte, no se pq se acabo solo quiero que sea como antes :( perdóname si en algún momento te hice algo"
es,Billie eilish no si ablas español pero eres una gran artista de verdad
es,"Hey Billie, do you miss Xxxtentacion?"
es,"Hey Billie, do you miss Xxxtentacion?"
pt,Você merece tudo tudo de bom obrigado 
pt,meio caminho um passo
pt,Provavelmente a melhor música deles 
pt,"Deveria estar no álbum The End, So Far"
pt,Estou ouvindo essa pedrada depois da eliminação do Brasil 
pt,Olha a quantidade de gente que está ouvindo em 2023 
pt,"Corey Taylor vestido de travesti, fica melhor que muita mulher por ai! "
pt,Um salve para o Grupo Para Pessoas Pobres com Computadores Ruins 5.0
pt,A voz do taylor mudou nesse álbum
pt,Melhor banda que já ouvi. Slipknot é simplesmente outro nível 
pt,A chuva que começa depois no clipe até lembra In The End
pt,Foda pra caralhoo!!! Não erram nunca 
pt,"Cada música da Billie me trás uma lembrança diferente, eu amo isso. Te amo minha garota "
pt,Essa música so me traz memórias de um mangá yaoi
pt,Essa música so me traz memórias de um mangá yaoi
pt,"Essa música saturou em ""Verdades Secretas"" aqui no Brasil rsrs."
no,Hammer Typ.....genial ist er
cy,we want you back marilyn <3
id,Allah melarangku berbicara dengan banci
id,Bandung banyak banci
id,"Nah ini tim banci 
Banci.. ci banci"
id,MM...I'm  bjg.gerardi....
id,"Jangan terima ya kalo ada uang  pemberian tim Dendi septiandani, hasil jual organ tubuh manusia itu mas.. jangan mau makan semeja dengannya,, mulutnya bekas dubur laki2"
id,"Kecelakaan itu, merekalah para keluarga yg menerima donor organ tubuh hasil membunuh orang lain !
Kecelakaan itu, merekalah para keluarga yg menerima donor organ tubuh hasil membunuh orang lain !"
id,Kebakaran rumah itu? Merekalah penerima donor organ tubuh hasil curian dgn membunuh manusia lain
id,"Jangan menempel dengan dendi lagi, ya"
id,Lalu 666 kau tau 666 kode Dajjal mas.
id,"Susrina Rini anak SMA 91 , teman kami terbiasa memanggil dendi Joni dip."
id,"Tentu saja pimpinan jadi pemarah, selain ingin tenang dirumah, kesibukan menenangkan kedua istri membuatnya tdk enak istirahat , kerepotan menangani bayi disana sini juga menguras energinya. Tentu saja akal sehatnya hanya berjalan ketika ada yg membantunya. 
Iyaaa. Bagus kalo kelompok yg membantu tim red flag.. 
Kalo bukan ??? Gimana? 
Itulah fungsinya fokus"
id,Jangan mau berteman dengan tim Dendi septiandani. Dia mantan gay.
id,"Tentu saja dia jadi pemarah, karena kerepotan dia menikahi 2 wanita. ,,"
id,"Kelompok Dajjal dendi memata2i seluruh negeri, utk mencuri nominal digital money kalian, 
Menyelusup ke sektor politik kalian sebagai kaki tangan iluminati"
id,un temita para relajar
de,Auf die Dauer hintergeht Klein Tom sich selbst
de,"Du musst eine Idee von der ""Gesellschaft"" haben"
de,0989071211113121111114121111111211www11411211www pf ist das nicht mehr in der Lage ist das nicht mehr
de,Ehrlich ist nur dieser Papst oder Menschenhändler
de,Aicha ich liebe dich
de,Aicha ich liebe dich
de,Aicha ich liebe dich
de,Wird der Danz schwer mein Schatz
de,"Die Energie ist so befreiend. Leute, die diese Art von Musik nicht hören, werden es nie verstehen."
de,"Fucking amazing, best yet!"
de,Fuck Valentine's Day.
de,Fuck Valentine's Day.
et,some times it looks like he is becoming kunno
et,bis 1:07 ists sinnlos mühsam...
hr,QjjB. Damn. Gajn. Al
hr,1:30  WoOoOoW it´s just amazing....
sq,"Bë æ©è @Më KëYß KëNß Açë © ū @ ©Hü®©HSS

FU K¡NG wëT NøW øMëHöMë 

MM MProductions MPHEÑONI© 

Mü©H LøVë 
The øMëHöMë"
fr,"Excellent sound Mr  Manson  
."
fr,Best valentines day song
fr,Billie Eilies do u love xxxtantaction
fr,Billie Eilies do u love xxxtantaction
fr,you love xxxtentacion  billie plz give me answer plx billie
fr,you love xxxtentacion  billie plz give me answer plx billie
tl,Awesome gunplay song!!!
tl,damn nice song but nah sad hai
tl,damn nice song but nah sad hai
da,Fucking awesome fuck everybody after gen X. Pussies
da,"I love her. 
I’m here 6y and forever ."
da,love you forever billie
sv,Mask made slipknot you dildo
af,His Mask in 2019 looks like an off brand joker
it,Clipe impecável como sempre!
it,un vídeo musical impresionante 
it,Simetierre reference I love u
it,billie is so amazing
nl,When did Stephanie McMahon get on tokt8lk
nl,TikTok sent mhee here 
nl,TikTok sent mhee here 
ca,Don't you love me anymore?xxx tentacio
so,I hate  spiders  aaaaaaaaaaaa I'm scared
so,I love you soooooo much 
so,lindaaaaaaaaaaaa billie
so,lindaaaaaaaaaaaa billie
sw,Iyou Billie you r amazing
ar,اسمع اغانيك لأن ليان تحبها
ar,اسمع اغانيك لأن ليان تحبها
